fecha,ciudad,temperatura_c,precipitacion_mm
2024-04-03,Aguascalientes,24.2,0.7
2024-04-04,Aguascalientes,22.3,2.3
2024-04-05,Aguascalientes,22.9,1.8
2024-04-06,Aguascalientes,22.4,0.7
2024-04-07,Aguascalientes,21.8,0
2024-04-08,Aguascalientes,22.2,0.9
2024-04-09,Aguascalientes,21.6,1.3
2024-04-10,Aguascalientes,20.8,1.0
2024-04-11,Aguascalientes,23.5,0
2024-04-12,Aguascalientes,25.9,2.5
2024-04-13,Aguascalientes,22.8,1.6
2024-04-14,Aguascalientes,26.2,0.9
2024-04-15,Aguascalientes,21.9,1.9
2024-04-16,Aguascalientes,26.1,1.3
2024-04-17,Aguascalientes,27.2,2.0
2024-04-18,Aguascalientes,24.4,1.2
2024-04-19,Aguascalientes,23.5,1.7
2024-04-20,Aguascalientes,24.5,1.2
2024-04-21,Aguascalientes,28.2,1.5
2024-04-22,Aguascalientes,23.4,1.3
2024-04-23,Aguascalientes,24.0,0
2024-04-24,Aguascalientes,19.2,1.3
2024-04-25,Aguascalientes,25.9,1.5
2024-04-26,Aguascalientes,24.5,2.0
2024-04-27,Aguascalientes,26.0,1.1
2024-04-28,Aguascalientes,23.0,0
2024-04-29,Aguascalientes,25.5,1.8
2024-04-30,Aguascalientes,23.1,0
2024-05-01,Aguascalientes,25.2,0.7
2024-05-02,Aguascalientes,24.1,1.6
2024-05-03,Aguascalientes,24.4,1.2
2024-05-04,Aguascalientes,19.6,1.0
2024-05-05,Aguascalientes,25.4,1.5
2024-05-06,Aguascalientes,23.9,1.1
2024-05-07,Aguascalientes,25.1,1.2
2024-05-08,Aguascalientes,24.6,2.2
2024-05-09,Aguascalientes,25.6,1.7
2024-05-10,Aguascalientes,27.1,2.4
2024-05-11,Aguascalientes,25.0,2.4
2024-05-12,Aguascalientes,24.5,1.0
2024-05-13,Aguascalientes,25.8,1.2
2024-05-14,Aguascalientes,26.6,1.6
2024-05-15,Aguascalientes,24.5,0
2024-05-16,Aguascalientes,25.1,0.4
2024-05-17,Aguascalientes,25.4,1.3
2024-05-18,Aguascalientes,20.9,1.2
2024-05-19,Aguascalientes,21.6,0.5
2024-05-20,Aguascalientes,24.7,3.0
2024-05-21,Aguascalientes,27.0,2.0
2024-05-22,Aguascalientes,24.4,2.2
2024-05-23,Aguascalientes,26.5,0
2024-05-24,Aguascalientes,23.2,0.8
2024-05-25,Aguascalientes,22.0,1.6
2024-05-26,Aguascalientes,24.1,0.8
2024-05-27,Aguascalientes,20.2,0.2
2024-05-28,Aguascalientes,20.1,0
2024-05-29,Aguascalientes,27.4,1.0
2024-05-30,Aguascalientes,22.2,0.8
2024-05-31,Aguascalientes,22.5,5.5
2024-06-01,Aguascalientes,23.7,3.0
2024-06-02,Aguascalientes,19.4,8.2
2024-06-03,Aguascalientes,23.4,2.4
2024-06-04,Aguascalientes,19.9,3.7
2024-06-05,Aguascalientes,17.7,2.6
2024-06-06,Aguascalientes,23.8,0.1
2024-06-07,Aguascalientes,23.6,7.0
2024-06-08,Aguascalientes,24.0,4.8
2024-06-09,Aguascalientes,17.7,5.9
2024-06-10,Aguascalientes,21.5,0
2024-06-11,Aguascalientes,23.3,5.5
2024-06-12,Aguascalientes,23.7,0
2024-06-13,Aguascalientes,19.7,6.5
2024-06-14,Aguascalientes,21.3,3.4
2024-06-15,Aguascalientes,24.9,4.3
2024-06-16,Aguascalientes,18.4,0
2024-06-17,Aguascalientes,25.1,4.0
2024-06-18,Aguascalientes,21.9,2.1
2024-06-19,Aguascalientes,21.8,2.0
2024-06-20,Aguascalientes,23.6,7.5
2024-06-21,Aguascalientes,22.6,4.9
2024-06-22,Aguascalientes,22.1,6.8
2024-06-23,Aguascalientes,24.8,2.9
2024-06-24,Aguascalientes,20.6,0.1
2024-06-25,Aguascalientes,21.4,2.8
2024-06-26,Aguascalientes,27.7,7.6
2024-06-27,Aguascalientes,25.2,9.4
2024-06-28,Aguascalientes,19.3,1.7
2024-06-29,Aguascalientes,22.1,3.7
2024-06-30,Aguascalientes,24.0,7.9
2024-07-01,Aguascalientes,21.8,4.1
2024-07-02,Aguascalientes,21.2,7.6
2024-07-03,Aguascalientes,20.2,5.1
2024-07-04,Aguascalientes,17.6,0.3
2024-07-05,Aguascalientes,16.6,6.3
2024-07-06,Aguascalientes,22.6,3.3
2024-07-07,Aguascalientes,23.5,1.7
2024-07-08,Aguascalientes,21.9,2.1
2024-07-09,Aguascalientes,22.4,4.3
2024-07-10,Aguascalientes,23.1,6.8
2024-07-11,Aguascalientes,19.4,4.4
2024-07-12,Aguascalientes,21.8,5.6
2024-07-13,Aguascalientes,19.5,4.4
2024-07-14,Aguascalientes,20.8,4.1
2024-07-15,Aguascalientes,20.1,6.5
2024-07-16,Aguascalientes,19.8,0
2024-07-17,Aguascalientes,18.2,2.1
2024-07-18,Aguascalientes,19.3,5.1
2024-07-19,Aguascalientes,18.8,6.4
2024-07-20,Aguascalientes,18.5,5.9
2024-07-21,Aguascalientes,22.4,5.9
2024-07-22,Aguascalientes,19.0,2.1
2024-07-23,Aguascalientes,18.3,0
2024-07-24,Aguascalientes,19.9,4.2
2024-07-25,Aguascalientes,20.2,1.3
2024-07-26,Aguascalientes,21.1,5.6
2024-07-27,Aguascalientes,19.9,1.3
2024-07-28,Aguascalientes,19.3,3.2
2024-07-29,Aguascalientes,18.5,0
2024-07-30,Aguascalientes,18.5,7.6
2024-07-31,Aguascalientes,19.5,4.8
2024-08-01,Aguascalientes,16.3,6.5
2024-08-02,Aguascalientes,16.1,2.6
2024-08-03,Aguascalientes,14.8,2.2
2024-08-04,Aguascalientes,17.1,5.4
2024-08-05,Aguascalientes,17.1,4.1
2024-08-06,Aguascalientes,21.1,0.3
2024-08-07,Aguascalientes,18.4,5.7
2024-08-08,Aguascalientes,18.2,5.8
2024-08-09,Aguascalientes,18.1,5.9
2024-08-10,Aguascalientes,16.9,2.4
2024-08-11,Aguascalientes,16.0,3.3
2024-08-12,Aguascalientes,14.9,0
2024-08-13,Aguascalientes,18.6,0
2024-08-14,Aguascalientes,16.1,7.2
2024-08-15,Aguascalientes,17.1,2.4
2024-08-16,Aguascalientes,16.9,6.9
2024-08-17,Aguascalientes,16.3,2.5
2024-08-18,Aguascalientes,16.7,8.7
2024-08-19,Aguascalientes,15.7,0
2024-08-20,Aguascalientes,16.8,4.9
2024-08-21,Aguascalientes,16.6,8.7
2024-08-22,Aguascalientes,13.2,3.0
2024-08-23,Aguascalientes,14.2,5.9
2024-08-24,Aguascalientes,18.2,0.6
2024-08-25,Aguascalientes,13.8,4.2
2024-08-26,Aguascalientes,15.4,4.0
2024-08-27,Aguascalientes,15.0,5.3
2024-08-28,Aguascalientes,16.5,0.7
2024-08-29,Aguascalientes,13.9,7.5
2024-08-30,Aguascalientes,15.0,8.4
2024-08-31,Aguascalientes,11.9,5.9
2024-09-01,Aguascalientes,17.4,5.5
2024-09-02,Aguascalientes,11.9,0
2024-09-03,Aguascalientes,13.3,1.2
2024-09-04,Aguascalientes,14.6,7.7
2024-09-05,Aguascalientes,14.1,4.1
2024-09-06,Aguascalientes,16.4,0
2024-09-07,Aguascalientes,13.1,4.0
2024-09-08,Aguascalientes,14.7,8.2
2024-09-09,Aguascalientes,13.4,1.4
2024-09-10,Aguascalientes,13.8,6.4
2024-09-11,Aguascalientes,14.3,3.5
2024-09-12,Aguascalientes,12.6,5.0
2024-09-13,Aguascalientes,13.8,5.6
2024-09-14,Aguascalientes,14.4,6.7
2024-09-15,Aguascalientes,14.4,0
2024-09-16,Aguascalientes,14.8,6.7
2024-09-17,Aguascalientes,12.8,3.7
2024-09-18,Aguascalientes,10.7,0
2024-09-19,Aguascalientes,12.4,1.6
2024-09-20,Aguascalientes,11.5,2.0
2024-09-21,Aguascalientes,13.5,0.9
2024-09-22,Aguascalientes,13.3,1.8
2024-09-23,Aguascalientes,12.4,2.3
2024-09-24,Aguascalientes,14.9,0
2024-09-25,Aguascalientes,13.9,0.4
2024-09-26,Aguascalientes,13.0,1.1
2024-09-27,Aguascalientes,11.9,2.2
2024-09-28,Aguascalientes,14.5,0.9
2024-09-29,Aguascalientes,11.6,1.6
2024-09-30,Aguascalientes,15.0,1.6
2024-10-01,Aguascalientes,14.0,2.5
2024-10-02,Aguascalientes,14.5,0.4
2024-10-03,Aguascalientes,13.2,1.7
2024-10-04,Aguascalientes,10.7,0.6
2024-10-05,Aguascalientes,10.4,1.7
2024-10-06,Aguascalientes,12.6,3.3
2024-10-07,Aguascalientes,12.1,0.1
2024-10-08,Aguascalientes,12.8,1.3
2024-10-09,Aguascalientes,10.2,0.7
2024-10-10,Aguascalientes,9.7,1.2
2024-10-11,Aguascalientes,15.3,1.5
2024-10-12,Aguascalientes,12.7,0.7
2024-10-13,Aguascalientes,14.4,1.3
2024-10-14,Aguascalientes,14.6,0.7
2024-10-15,Aguascalientes,13.7,0
2024-10-16,Aguascalientes,13.7,2.3
2024-10-17,Aguascalientes,12.1,1.8
2024-10-18,Aguascalientes,11.1,1.2
2024-10-19,Aguascalientes,11.3,0
2024-10-20,Aguascalientes,12.6,0.5
2024-10-21,Aguascalientes,12.0,1.5
2024-10-22,Aguascalientes,10.2,1.4
2024-10-23,Aguascalientes,9.2,2.0
2024-10-24,Aguascalientes,11.9,1.8
2024-10-25,Aguascalientes,12.5,2.2
2024-10-26,Aguascalientes,10.1,1.4
2024-10-27,Aguascalientes,11.4,1.0
2024-10-28,Aguascalientes,13.5,1.7
2024-10-29,Aguascalientes,15.4,0.7
2024-10-30,Aguascalientes,12.1,0.4
2024-10-31,Aguascalientes,9.0,1.8
2024-11-01,Aguascalientes,13.8,1.1
2024-11-02,Aguascalientes,13.1,1.9
2024-11-03,Aguascalientes,13.0,2.2
2024-11-04,Aguascalientes,11.6,1.1
2024-11-05,Aguascalientes,12.3,1.8
2024-11-06,Aguascalientes,13.4,1.9
2024-11-07,Aguascalientes,10.6,1.8
2024-11-08,Aguascalientes,7.9,0
2024-11-09,Aguascalientes,13.8,2.8
2024-11-10,Aguascalientes,12.3,1.8
2024-11-11,Aguascalientes,12.2,0.6
2024-11-12,Aguascalientes,9.4,0.6
2024-11-13,Aguascalientes,10.4,1.3
2024-11-14,Aguascalientes,16.7,1.6
2024-11-15,Aguascalientes,14.3,2.3
2024-11-16,Aguascalientes,11.5,0.8
2024-11-17,Aguascalientes,13.1,2.2
2024-11-18,Aguascalientes,13.1,2.0
2024-11-19,Aguascalientes,11.3,2.3
2024-11-20,Aguascalientes,12.7,1.6
2024-11-21,Aguascalientes,12.0,0.6
2024-11-22,Aguascalientes,11.6,2.1
2024-11-23,Aguascalientes,13.3,0
2024-11-24,Aguascalientes,13.6,0.7
2024-11-25,Aguascalientes,16.1,1.2
2024-11-26,Aguascalientes,14.1,1.6
2024-11-27,Aguascalientes,14.1,1.0
2024-11-28,Aguascalientes,16.5,1.6
2024-11-29,Aguascalientes,11.2,1.6
2024-11-30,Aguascalientes,11.8,0.6
2024-12-01,Aguascalientes,12.6,0
2024-12-02,Aguascalientes,15.4,1.4
2024-12-03,Aguascalientes,12.6,0.4
2024-12-04,Aguascalientes,14.9,0.5
2024-12-05,Aguascalientes,13.9,1.1
2024-12-06,Aguascalientes,13.3,0.9
2024-12-07,Aguascalientes,13.6,0.2
2024-12-08,Aguascalientes,13.1,2.7
2024-12-09,Aguascalientes,10.1,0.6
2024-12-10,Aguascalientes,15.1,0.5
2024-12-11,Aguascalientes,15.5,0.5
2024-12-12,Aguascalientes,15.0,0
2024-12-13,Aguascalientes,15.3,0.8
2024-12-14,Aguascalientes,13.9,1.1
2024-12-15,Aguascalientes,15.9,1.7
2024-12-16,Aguascalientes,17.1,0.7
2024-12-17,Aguascalientes,12.9,0
2024-12-18,Aguascalientes,15.4,0.9
2024-12-19,Aguascalientes,14.8,1.4
2024-12-20,Aguascalientes,12.8,2.1
2024-12-21,Aguascalientes,14.1,0.5
2024-12-22,Aguascalientes,13.6,0.8
2024-12-23,Aguascalientes,16.8,1.8
2024-12-24,Aguascalientes,13.0,2.2
2024-12-25,Aguascalientes,14.4,0
2024-12-26,Aguascalientes,12.0,0.0
2024-12-27,Aguascalientes,18.0,0.6
2024-12-28,Aguascalientes,12.7,0.8
2024-12-29,Aguascalientes,16.2,0
2024-12-30,Aguascalientes,14.4,2.5
2024-01-01,Guadalajara,19.0,3.3
2024-01-02,Guadalajara,18.7,3.8
2024-01-03,Guadalajara,18.3,1.5
2024-01-04,Guadalajara,17.5,4.2
2024-01-05,Guadalajara,17.8,3.1
2024-01-06,Guadalajara,21.2,2.4
2024-01-07,Guadalajara,17.4,6.8
2024-01-08,Guadalajara,20.7,4.2
2024-01-09,Guadalajara,19.2,5.7
2024-01-10,Guadalajara,22.0,2.7
2024-01-11,Guadalajara,21.8,2.3
2024-01-12,Guadalajara,19.5,0.6
2024-01-13,Guadalajara,18.1,2.2
2024-01-14,Guadalajara,16.8,3.9
2024-01-15,Guadalajara,21.0,3.9
2024-01-16,Guadalajara,18.4,2.1
2024-01-17,Guadalajara,20.1,1.7
2024-01-18,Guadalajara,15.3,1.8
2024-01-19,Guadalajara,19.8,1.0
2024-01-20,Guadalajara,19.1,0.9
2024-01-21,Guadalajara,20.8,4.8
2024-01-22,Guadalajara,19.2,4.1
2024-01-23,Guadalajara,20.1,1.4
2024-01-24,Guadalajara,19.0,0.2
2024-01-25,Guadalajara,19.7,2.2
2024-01-26,Guadalajara,20.2,3.8
2024-01-27,Guadalajara,22.9,3.7
2024-01-28,Guadalajara,24.2,0.1
2024-01-29,Guadalajara,20.9,3.0
2024-01-30,Guadalajara,20.6,4.7
2024-01-31,Guadalajara,19.0,4.5
2024-02-01,Guadalajara,21.5,0.1
2024-02-02,Guadalajara,19.2,4.0
2024-02-03,Guadalajara,19.7,2.1
2024-02-04,Guadalajara,22.1,0
2024-02-05,Guadalajara,23.0,3.5
2024-02-06,Guadalajara,24.5,4.0
2024-02-07,Guadalajara,20.0,0.1
2024-02-08,Guadalajara,25.4,3.8
2024-02-09,Guadalajara,19.3,3.8
2024-02-10,Guadalajara,20.5,3.2
2024-02-11,Guadalajara,22.9,2.3
2024-02-12,Guadalajara,18.8,0.5
2024-02-13,Guadalajara,21.0,3.7
2024-02-14,Guadalajara,19.5,4.4
2024-02-15,Guadalajara,19.1,2.3
2024-02-16,Guadalajara,23.6,1.7
2024-02-17,Guadalajara,21.3,2.9
2024-02-18,Guadalajara,17.6,2.6
2024-02-19,Guadalajara,22.0,4.4
2024-02-20,Guadalajara,22.0,3.7
2024-02-21,Guadalajara,25.5,7.0
2024-02-22,Guadalajara,23.5,2.0
2024-02-23,Guadalajara,23.7,0.3
2024-02-24,Guadalajara,26.2,6.7
2024-02-25,Guadalajara,22.8,2.1
2024-02-26,Guadalajara,23.7,4.1
2024-02-27,Guadalajara,20.6,0.1
2024-02-28,Guadalajara,23.5,0.5
2024-02-29,Guadalajara,24.8,3.4
2024-03-01,Guadalajara,20.9,2.3
2024-03-02,Guadalajara,23.0,5.1
2024-03-03,Guadalajara,26.1,1.7
2024-03-04,Guadalajara,24.9,4.3
2024-03-05,Guadalajara,19.5,1.4
2024-03-06,Guadalajara,22.1,4.4
2024-03-07,Guadalajara,23.1,2.7
2024-03-08,Guadalajara,20.1,6.2
2024-03-09,Guadalajara,22.9,4.9
2024-03-10,Guadalajara,26.0,0.8
2024-03-11,Guadalajara,22.2,0
2024-03-12,Guadalajara,22.8,0
2024-03-13,Guadalajara,23.1,2.9
2024-03-14,Guadalajara,21.7,1.8
2024-03-15,Guadalajara,23.4,3.1
2024-03-16,Guadalajara,24.9,1.5
2024-03-17,Guadalajara,23.1,4.8
2024-03-18,Guadalajara,25.7,3.4
2024-03-19,Guadalajara,19.8,1.9
2024-03-20,Guadalajara,22.8,3.4
2024-03-21,Guadalajara,24.5,1.5
2024-03-22,Guadalajara,24.8,2.9
2024-03-23,Guadalajara,24.6,3.5
2024-03-24,Guadalajara,27.1,3.6
2024-03-25,Guadalajara,23.8,2.6
2024-03-26,Guadalajara,22.2,2.1
2024-03-27,Guadalajara,22.1,2.6
2024-03-28,Guadalajara,26.0,2.5
2024-03-29,Guadalajara,23.7,4.7
2024-03-30,Guadalajara,25.1,3.0
2024-03-31,Guadalajara,26.1,1.8
2024-04-01,Guadalajara,25.4,1.7
2024-04-02,Guadalajara,22.2,0.4
2024-04-03,Guadalajara,25.7,2.5
2024-04-04,Guadalajara,20.4,4.2
2024-04-05,Guadalajara,25.6,1.3
2024-04-06,Guadalajara,25.2,0
2024-04-07,Guadalajara,24.4,4.2
2024-04-08,Guadalajara,25.9,3.7
2024-04-09,Guadalajara,25.4,5.2
2024-04-10,Guadalajara,23.0,3.1
2024-04-11,Guadalajara,21.5,2.9
2024-04-12,Guadalajara,24.3,0.9
2024-04-13,Guadalajara,29.1,5.0
2024-04-14,Guadalajara,25.3,3.8
2024-04-15,Guadalajara,26.4,5.4
2024-04-16,Guadalajara,21.3,6.7
2024-04-17,Guadalajara,28.5,1.0
2024-04-18,Guadalajara,26.5,1.0
2024-04-19,Guadalajara,25.7,3.3
2024-04-20,Guadalajara,23.6,3.0
2024-04-21,Guadalajara,25.1,2.3
2024-04-22,Guadalajara,25.0,3.1
2024-04-23,Guadalajara,25.2,0.9
2024-04-24,Guadalajara,23.4,2.3
2024-04-25,Guadalajara,28.0,0.9
2024-04-26,Guadalajara,27.2,0
2024-04-27,Guadalajara,25.6,1.3
2024-04-28,Guadalajara,21.7,0.6
2024-04-29,Guadalajara,21.9,2.2
2024-04-30,Guadalajara,25.7,2.0
2024-05-01,Guadalajara,24.4,5.2
2024-05-02,Guadalajara,24.0,4.5
2024-05-03,Guadalajara,27.7,0
2024-05-04,Guadalajara,27.8,4.1
2024-05-05,Guadalajara,26.6,1.8
2024-05-06,Guadalajara,26.3,5.0
2024-05-07,Guadalajara,25.8,3.0
2024-05-08,Guadalajara,24.6,1.4
2024-05-09,Guadalajara,25.9,0
2024-05-10,Guadalajara,23.8,1.0
2024-05-11,Guadalajara,25.5,2.0
2024-05-12,Guadalajara,23.5,0
2024-05-13,Guadalajara,24.7,1.3
2024-05-14,Guadalajara,27.0,0.9
2024-05-15,Guadalajara,27.1,2.5
2024-05-16,Guadalajara,22.3,6.1
2024-05-17,Guadalajara,24.4,2.0
2024-05-18,Guadalajara,24.1,2.6
2024-05-19,Guadalajara,26.5,2.5
2024-05-20,Guadalajara,21.8,1.7
2024-05-21,Guadalajara,23.3,4.6
2024-05-22,Guadalajara,23.3,3.3
2024-05-23,Guadalajara,27.5,4.5
2024-05-24,Guadalajara,24.1,2.5
2024-05-25,Guadalajara,27.2,2.1
2024-05-26,Guadalajara,23.2,3.0
2024-05-27,Guadalajara,21.9,5.2
2024-05-28,Guadalajara,26.5,2.0
2024-05-29,Guadalajara,25.0,3.6
2024-05-30,Guadalajara,25.8,1.5
2024-05-31,Guadalajara,23.2,6.9
2024-06-01,Guadalajara,25.5,6.1
2024-06-02,Guadalajara,23.1,10.7
2024-06-03,Guadalajara,24.0,6.5
2024-06-04,Guadalajara,23.4,5.6
2024-06-05,Guadalajara,24.6,18.3
2024-06-06,Guadalajara,25.1,17.8
2024-06-07,Guadalajara,22.5,16.7
2024-06-08,Guadalajara,24.2,7.0
2024-06-09,Guadalajara,20.6,13.5
2024-06-10,Guadalajara,26.4,15.3
2024-06-11,Guadalajara,23.2,10.7
2024-06-12,Guadalajara,22.9,14.2
2024-06-13,Guadalajara,24.1,12.2
2024-06-14,Guadalajara,22.4,7.6
2024-06-15,Guadalajara,22.4,14.1
2024-06-16,Guadalajara,25.1,4.4
2024-06-17,Guadalajara,26.5,3.7
2024-06-18,Guadalajara,22.1,14.0
2024-06-19,Guadalajara,23.4,0
2024-06-20,Guadalajara,20.0,0
2024-06-21,Guadalajara,21.6,5.8
2024-06-22,Guadalajara,23.6,3.6
2024-06-23,Guadalajara,21.3,12.2
2024-06-24,Guadalajara,22.7,1.5
2024-06-25,Guadalajara,24.7,7.8
2024-06-26,Guadalajara,20.9,16.5
2024-06-27,Guadalajara,23.1,7.9
2024-06-28,Guadalajara,20.1,7.9
2024-06-29,Guadalajara,25.9,10.7
2024-06-30,Guadalajara,25.1,13.4
2024-07-01,Guadalajara,22.2,4.2
2024-07-02,Guadalajara,22.9,0
2024-07-03,Guadalajara,22.0,9.4
2024-07-04,Guadalajara,23.1,18.3
2024-07-05,Guadalajara,23.8,0
2024-07-06,Guadalajara,23.3,1.0
2024-07-07,Guadalajara,21.9,1.3
2024-07-08,Guadalajara,22.3,0.8
2024-07-09,Guadalajara,22.7,7.6
2024-07-10,Guadalajara,24.1,9.3
2024-07-11,Guadalajara,23.5,13.1
2024-07-12,Guadalajara,23.3,11.0
2024-07-13,Guadalajara,22.1,11.0
2024-07-14,Guadalajara,21.8,11.6
2024-07-15,Guadalajara,20.1,0
2024-07-16,Guadalajara,22.0,10.5
2024-07-17,Guadalajara,21.3,16.4
2024-07-18,Guadalajara,20.1,7.9
2024-07-19,Guadalajara,21.4,16.4
2024-07-20,Guadalajara,24.0,20.3
2024-07-21,Guadalajara,23.0,10.7
2024-07-22,Guadalajara,23.1,3.8
2024-07-23,Guadalajara,20.3,2.0
2024-07-24,Guadalajara,18.5,11.0
2024-07-25,Guadalajara,19.7,0
2024-07-26,Guadalajara,21.7,7.2
2024-07-27,Guadalajara,17.6,2.4
2024-07-28,Guadalajara,24.8,14.9
2024-07-29,Guadalajara,21.0,0.0
2024-07-30,Guadalajara,20.1,5.7
2024-07-31,Guadalajara,21.2,10.9
2024-08-01,Guadalajara,20.6,6.7
2024-08-02,Guadalajara,22.8,5.2
2024-08-03,Guadalajara,19.8,4.9
2024-08-04,Guadalajara,22.2,10.3
2024-08-05,Guadalajara,25.7,10.5
2024-08-06,Guadalajara,19.9,9.4
2024-08-07,Guadalajara,17.5,0.5
2024-08-08,Guadalajara,22.0,6.6
2024-08-09,Guadalajara,20.2,14.0
2024-08-10,Guadalajara,18.3,9.6
2024-08-11,Guadalajara,18.1,7.5
2024-08-12,Guadalajara,18.2,0
2024-08-13,Guadalajara,18.2,8.9
2024-08-14,Guadalajara,19.5,8.4
2024-08-15,Guadalajara,23.1,0.7
2024-08-16,Guadalajara,20.5,12.4
2024-08-17,Guadalajara,19.4,1.5
2024-08-18,Guadalajara,19.7,5.8
2024-08-19,Guadalajara,17.7,10.5
2024-08-20,Guadalajara,21.2,5.4
2024-08-21,Guadalajara,19.6,2.7
2024-08-22,Guadalajara,18.9,11.8
2024-08-23,Guadalajara,18.3,8.1
2024-08-24,Guadalajara,18.1,2.6
2024-08-25,Guadalajara,19.6,0
2024-08-26,Guadalajara,16.9,11.7
2024-08-27,Guadalajara,18.8,3.9
2024-08-28,Guadalajara,22.2,5.0
2024-08-29,Guadalajara,19.1,10.2
2024-08-30,Guadalajara,19.9,6.2
2024-08-31,Guadalajara,15.6,7.1
2024-09-01,Guadalajara,19.4,14.1
2024-09-02,Guadalajara,19.1,9.3
2024-09-03,Guadalajara,17.8,15.8
2024-09-04,Guadalajara,20.0,4.5
2024-09-05,Guadalajara,19.7,10.2
2024-09-06,Guadalajara,20.8,12.9
2024-09-07,Guadalajara,16.6,8.3
2024-09-08,Guadalajara,18.1,2.7
2024-09-09,Guadalajara,17.6,0
2024-09-10,Guadalajara,21.0,6.7
2024-09-11,Guadalajara,19.5,9.7
2024-09-12,Guadalajara,18.4,1.9
2024-09-13,Guadalajara,19.4,0
